state,year,date,attendance,prec,scaled_prec,scaled_att
TX,2017,2017-09-29,75089,3.39,0.05070296141190548,0.33211407644607993
TX,2017,2017-10-05,54754,17.7,0.2647322763984445,0.2421736092067901
TX,2017,2017-10-06,66181,0.22,0.003290457672749028,0.29271453466257397
TX,2017,2017-10-09,122911,7.98,0.11935387376607838,0.5436278715932311
TX,2017,2017-10-20,132705,0.26,0.0038887227041579423,0.5869461374472564
TX,2017,2017-10-21,144560,24.52,0.36673646425366435,0.6393800808513274
TX,2018,2018-09-29,122708,1.9,0.028417588991923422,0.5427300149495342
TX,2018,2018-10-06,190490,5.44,0.08136404427161233,0.8425256751616584
TX,2018,2018-10-07,93636,5.87,0.08779539335925815,0.4141463285182269
TX,2018,2018-10-09,35092,47.48,0.710140592282381,0.15520978000300759
TX,2018,2018-10-12,91290,19.59,0.2930002991325157,0.40377011331570056
TX,2018,2018-10-13,59309,66.86,1.0,0.26232009695082575
TX,2018,2018-10-14,104649,25.94,0.3879748728686809,0.462856157173565
TX,2018,2018-10-15,28237,59.94,0.8965001495662578,0.12489053225649509
TX,2018,2018-10-17,39946,9.93,0.14851929404726294,0.17667872654736524
TX,2018,2018-10-18,81652,0.59,0.008824409213281483,0.36114182596619104
TX,2018,2018-10-19,45345,13.47,0.20146574932695185,0.20055817491839678
TX,2019,2019-10-01,43634,4.12,0.06162129823511816,0.1929905260643803
TX,2019,2019-10-02,53760,7.7,0.11516601854621598,0.2377772077100675
TX,2019,2019-10-05,120818,17.74,0.2653305414298534,0.5343706599909772
TX,2019,2019-10-11,101283,15.84,0.23691295243793,0.4479685440568967
TX,2019,2019-10-14,169956,1.63,0.02437930002991325,0.7517050430351977
TX,2019,2019-10-15,84217,0.77,0.011516601854621597,0.3724866648385185
TX,2019,2019-10-20,153636,28.6,0.4277594974573736,0.6795226764089273
