state,year,date,attendance,prec,scaled_prec,scaled_att
MN,2018,2018-08-23,122695,2.79,0.08511287370347773,0.4537100722563659
MN,2018,2018-08-24,108059,32.78,1.0,0.3995880573613484
MN,2018,2018-08-26,184715,0.72,0.02196461256863941,0.6830519254805382
MN,2018,2018-08-27,124438,5.1,0.15558267236119583,0.4601554584248556
MN,2018,2018-08-28,120209,5.89,0.17968273337400853,0.4445171692071029
MN,2018,2018-08-30,156764,1.72,0.052471018913971934,0.5796927810195766
MN,2018,2018-09-03,171588,3.45,0.1052471018913972,0.6345099953406848
MN,2019,2019-08-27,136987,1.52,0.04636973764490543,0.5065600201164089
